partner,exported_stable_hs6,weighted_rsca_sum,weighted_rsca_coverage,years_detected
France,1609,1462.5,0.6366723259762309,12
Germany,1576,1429.9,0.622480518915154,12
Spain,1542,1398.9,0.6089852422619826,12
Switzerland,1473,1333.7,0.5806016281398285,12
Romania,1423,1284.7,0.5592703843977189,12
Austria,1405,1271.2,0.5533934090810152,12
Poland,1331,1196.5,0.5208741456619216,12
Netherlands,1313,1181.7,0.5144312393887946,12
Belgium,1287,1157.6000000000001,0.5039397501197163,12
Czech Republic,1240,1114.7,0.48526402855774675,12
