partner,value_share_stable,coverage_ratio,weighted_rsca_coverage,cluster
Netherlands,0.0694653840399771,0.8031045751633987,0.5144312393887946,0
Poland,0.0593667442513465,0.8031045751633987,0.5208741456619216,0
Czech Republic,0.0537851797105175,0.8031045751633987,0.4852640285577467,0
Belgium,0.0447879540353216,0.8031045751633987,0.5039397501197163,0
Switzerland,0.0602602517495489,0.8031045751633987,0.5806016281398285,1
Romania,0.0561434382898756,0.8031045751633987,0.5592703843977189,1
Germany,0.0545525989832172,0.8031045751633987,0.622480518915154,1
Austria,0.0759069480413174,0.8031045751633987,0.5533934090810152,2
Spain,0.075368522361948,0.8031045751633987,0.6089852422619826,2
France,0.0697076617279695,0.8031045751633987,0.6366723259762309,2
